"name" "prob_forest" "prob_jungle" "prob_oilpalm" "prob_rubber"
"393" "Daemonorops micracantha" 0.0977607419546817 0 0 0
"394" "Daemonorops palembanica" 0.211188915348759 0 0 0
"395" "Daemonorops sp. 01" 0.222379575569027 0 0 0
"396" "Daemonorops sp. 02" 0.1035568413887 0 0 0
"397" "Dalbergia junghuhnii" 0 0.125 0.0166747627231934 0.0120233596702206
"398" "Dalbergia rostrata" 0.158706195519559 0.0996420552299313 0 0
"399" "Dalbergia stipulacea" 0.572615223610762 0 0 0
"400" "Dasymaschalon dasymaschalum" 0.0421282193298369 0 0 0
"401" "Davallia denticulata" 0 0.288405421428699 0.678978596650144 0.0742105742944697
"402" "Davallia triphylla" 0.0662276882890578 0 0.124460058386073 0
"403" "Decaspermum cf. parviflorum" 0 0 0 0.0521248870353766
"404" "Dehaasia cf. membranacea" 0 0.108061889250815 0 0
"405" "Dehaasia firma" 0.115133724039605 0 0 0
"406" "Dehaasia incrassata" 0.176144595803509 0.043309399477835 0 0
"407" "Dendrocnide sinuata" 0.249465229410435 0 0 0
"408" "Dendrocnide stimulans" 0 0.043309399477835 0 0
"409" "Dendrophthoe cf. pentandra" 0.0662276882890578 0 0 0
"410" "Derris amoena" 0.238793174825075 0.12464680312921 0.0311262237501866 0
"411" "Derris sp. 01" 0 0 0 0.125
"412" "Dialium indum" 0.131983505803552 0.0728480456741361 0 0
"413" "Dialium platysepalum" 0.108355907618895 0.124692860962108 0 0
"414" "Dianella ensifolia" 0 0 0.215474946912147 0.0239398084815262
"415" "Dichapetalum cf. rugosum " 0 0 0 0.00626342161772549
"416" "Dichapetalum gelonioides" 0.115423103160604 0.0966797340981871 0.0183536234268498 0.00498149729575738
"417" "Dichapetalum sordidum" 0.1035568413887 0 0 0
"418" "Dichapetalum timoriense" 0.0785449622103678 0.124999951863154 0.0639116745451729 0
"419" "Dicoelia sumatrana" 0.0487892880051072 0.374989559468691 0 0
