"variable" "F" "J" "O" "R" "group"
"1348" "Vernonia arborea" 0 0.125 0 0.25 "core"
"1349" "Vitaceae sp. 25" 0.125 0 0 0 "core"
"1350" "Vitex pinnata" 0 0.125 0.5 0.75 "core"
"1351" "Vitex quinata" 0.25 0.125 0 0 "core"
"1352" "Vitex vestita" 0 0.25 0 0.125 "core"
"1353" "Vittaria elongata" 0 0 0.875 0 "core"
"1354" "Vittaria ensiformis" 0 0.125 0.875 0 "core"
"1355" "Willughbeia angustifolia" 0.25 0 0 0 "core"
"1356" "Willughbeia beccariana" 0 0.125 0 0 "core"
"1357" "Willughbeia coriacea" 0.625 0 0 0 "core"
"1358" "Willughbeia tenuiflora" 0.25 0 0 0 "core"
"1359" "Wrightia laevis" 0.125 0 0 0 "core"
"1360" "Xanthophyllum cf. arnottianum" 0 0.125 0 0 "core"
"1361" "Xanthophyllum eurhynchum" 0.5 0 0 0 "core"
"1362" "Xanthophyllum flavescens" 0.5 0 0 0.125 "core"
"1363" "Xanthophyllum korthalsianum" 0.125 0.125 0 0.125 "core"
"1364" "Xanthophyllum nigricans" 0.125 0.125 0 0 "core"
"1365" "Xanthophyllum rufum" 0.5 0.125 0 0 "core"
"1366" "Xanthophyllum stipitatum" 0.25 0 0 0 "core"
"1367" "Xanthophyllum vitellinum" 0 0.125 0 0 "core"
"1368" "Xanthophyllum wrayi" 0.125 0.125 0 0 "core"
"1369" "Xerospermum laevigatum" 0.625 0.125 0 0 "core"
"1370" "Xerospermum noronhianum" 0.375 0 0 0 "core"
"1371" "Xylopia caudata" 0.125 0.125 0 0 "core"
"1372" "Xylopia elliptica" 0.25 0 0.125 0 "core"
"1373" "Xylopia ferruginea" 0.25 0.25 0 0.125 "core"
"1374" "Xylopia glauca" 0.25 0 0 0 "core"
"1375" "Xylopia malayana" 0.375 0 0 0 "core"
"1376" "Zanthoxylum myriacanthum" 0.125 0 0 0 "core"
"1377" "Zehneria mucronata" 0 0 0.125 0.125 "core"
"1378" "Zingiber acuminatum" 0.125 0.125 0 0 "core"
"1379" "Zingiberaceae sp. 16" 0.125 0 0 0 "core"
"1380" "Zingiberaceae sp. 18" 0 0.125 0 0 "core"
"1381" "Ziziphus angustifolia" 0.125 0 0 0 "core"
"1382" "Ziziphus horsfieldii" 0.125 0 0 0 "core"
"1383" "Ziziphus jujuba" 0.125 0.125 0 0 "core"
