"variable" "F" "J" "O" "R" "group"
"289" "Castanopsis javanica" 0.25 0 0 0 "core"
"290" "Castanopsis schefferiana" 0 0.125 0 0 "core"
"291" "Cathalsia sp. 01" 0.125 0.125 0 0 "core"
"292" "Cayratia geniculata" 0.5 0.625 0 0 "core"
"293" "Cayratia japonica" 0.125 0 0 0 "core"
"294" "Cayratia mollissima" 0 0.375 0 0 "core"
"295" "Centotheca lappacea" 0.125 1 1 0.875 "general"
"296" "Centrosema pubescens" 0 0 0.25 0.125 "core"
"297" "Cephalomappa malloticarpa" 0.125 0.125 0 0 "core"
"298" "Champereia manillana" 0.625 0.75 0.125 0.25 "general"
"299" "Chassalia curviflora" 0.375 0.5 0.125 0 "core"
"300" "Chassalia sp. 01" 0.125 0 0 0 "core"
"301" "Cheilocostus globosus" 0 0.125 0 0 "core"
"302" "Cheilocostus speciosus" 0.25 0 0 0 "core"
"303" "Chilocarpus cf. suaveolens" 0.25 0 0 0 "core"
"304" "Chilocarpus costatus" 0.125 0 0 0 "core"
"305" "Chionanthus curvicarpus" 0.125 0.25 0 0 "core"
"306" "Chionanthus montanus" 0.5 0 0 0 "core"
"307" "Chionanthus polygamus" 0.125 0 0 0 "core"
"308" "Chionanthus sp. 02" 0.125 0 0 0 "core"
"309" "Chisocheton ceramicus" 0.125 0 0 0 "core"
"310" "Chisocheton patens" 0.25 0 0 0 "core"
"311" "Chisocheton tomentosus" 0.125 0 0 0 "core"
"312" "Chonemorpha fragrans" 0.125 0 0 0 "core"
"313" "Chonemorpha verrucosa" 0 0 0.125 0 "core"
"314" "Christella dentata" 0 0.125 0.75 0.25 "core"
"315" "Christensenia aesculifolia" 0.125 0 0 0 "core"
"316" "Chromolaena odorata" 0 0 0.25 0.125 "core"
"317" "Chrysophyllumflexuosum" 0.125 0 0 0 "core"
"318" "Cinnamomum iners" 0.25 0.125 0 0 "core"
"319" "Cinnamomum porrectum" 0 0.125 0 0 "core"
"320" "Cissus nodosa" 0.125 0 0 0 "core"
"321" "Citrus nobilis" 0 0 0.125 0 "core"
"322" "Claderia viridiflora" 0.25 0 0 0 "core"
"323" "Claoxylon longifolium" 0.125 0 0 0 "core"
"324" "Clausena excavata" 0.125 0.25 0 0 "core"
"325" "Cleistanthus megacarpus" 0.125 0 0 0 "core"
"326" "Cleome rutidosperma" 0 0 0.125 0 "core"
"327" "Clerodendrumadenophysum" 0 0 0 0.125 "core"
"328" "Clerodendrum deflexum" 0.25 0.625 0.125 0.375 "general"
"329" "Clerodendrum disparifolium" 0 0.125 0 0 "core"
"330" "Clerodendrum laevifolium" 0.75 0.25 0 0.125 "core"
"331" "Clerodendrum sp. 04" 0 0.125 0 0 "core"
"332" "Clerodendrum sp. 09" 0.25 0 0 0 "core"
"333" "Clerodendrum sp. 10" 0 0 0 0.125 "core"
