rownr,name,prob_forest,prob_jungle,prob_oilpalm,prob_rubber
466,Drepananthus ramuliflorus,0.405118479,0.195562394,0,0
467,Drimycarpus luridus,0.125,0,0,0
468,Drynaria quercifolia,0.097760742,0.127272771,0,0.006263422
469,Drypetes longifolia,0.342818998,0,0,0
470,Durio excelsus,0.393663598,0,0,0
471,Durio zibethinus,0,0.192714245,0,0
472,Dyera costulata,0.271002807,0.305817063,0,0
473,Dysoxylum alliaceum,0.327939202,0.0686853,0,0
474,Dysoxylum arborescens,0.097760742,0.0686853,0,0
475,Dysoxylum cauliflorum,0.088590354,0,0,0
476,Dysoxylum densiflorum,0.226825695,0,0,0
477,Dysoxylum excelsum,0.39823075,0,0,0
478,Dysoxylum parasiticum ,0.103556841,0,0,0
479,Elaeis guineensis,0,0.083963372,0.999933731,0.06540046
480,Elaeocarpus acronodia,0,0,0.11363323,0
481,Elaeocarpus cf. oxypyren,0.097380085,0,0,0
482,Elaeocarpus floribundus,0,0.124646803,0,0
483,Elaeocarpus glaber,0,0.072848046,0,0
484,Elaeocarpus grandiflorus,0,0.108061889,0,0
485,Elaeocarpus mastersii,0.385742633,0.342532459,0,0
486,Elaeocarpus nitidus,0.273378756,0.103254743,0,0
487,Elaeocarpus petiolatus,0.066227688,0.122714349,0,0
488,Elaeocarpus salicifolius,0,0.072848046,0,0
489,Elaeocarpus serratus,0.097760742,0.238653029,0.085250913,0.022893964
490,Elaeocarpus sp. 11,0,0.118313124,0,0
491,Elaeocarpus sp. 13,0,0.123962752,0,0
492,Elaeocarpus stipularis,0.090917507,0.318332103,0.188100972,0.349916837
493,Elatostema parasiticum,0.125,0,0,0
494,Elatostema raapii,0.124401458,0,0,0
495,Elatostema sinuatum,0.125,0,0,0
496,Elatostema sp. 03,0.26977265,0,0,0
497,Elettaria cardamomum,0,0.115281939,0,0
498,Elettaria sp. 01,0,0.043309399,0,0
499,Elettaria sp. 02,0.25,0.043309399,0,0
500,Embelia parviflora,0.243065146,0.229288332,0,0
501,Embelia ribes,0.368065146,0.053370335,0,0
502,Endiandra cf. clavigera,0.048789288,0,0,0
503,Endiandra immersa,0.109916908,0,0,0
504,Endiandra rubescens,0.566073754,0.053370335,0,0
505,Endiandra sp. 05,0.145685061,0,0,0
506,Endiandra sp. 07,0,0.0686853,0,0
507,Endospermum diadenum,0.397540011,0.489901432,0.016674763,0.069727804
508,Enkleia malaccensis,0.191633774,0.361499792,0,0
509,Epigynum cf. ridleyi,0,0.124887201,0,0.07477612
510,Erycibe crassipes,0.109916908,0,0,0
511,Erycibe sp. 01,0.474514095,0,0,0
512,Erycibe sp. 02,0.114408153,0,0,0
513,Erycibe sumatrensis,0,0.125,0,0
514,Erycibe tomentosa,0.373626676,0.371121526,0.016674763,0.032721977
